GT_ID,Habitat,NumAnnuli,Initial_CL_mm,PL_Per_Day_mm,CL_mm_per_day,CL_pct_per_day,NumBurrows,BareSoil,Wiregrass,NativeGrass,Bahiagrass,ExoticGrass,NativeLegume,ExoticLegume,Herb,ShortWoody,MediumWoody,TallWoody,Vine,Palmetto,Sedge,MeanDiversity,XBare,XBrownHerb,XGreenHerb,XTotalHerb,XTree,XWoody,Bahiagrass2,Wiregrass2,BareSoil2,NativeGrass2,ExoticGrass2,NativeLegume2,ExoticLegume2,Herb2,MediumWoody2,ShortWoody2,TallWoody2,Vine2,Palmetto2,Sedge2,MeanDiversity2,X.GreenHerb,X.BrownHerb,X.TotalHerb,X.Tree,gli90,glimax_drone,glimean_drone,mgvri90,mgvrimax_drone,mgvrimean_drone
1300,HG,3,99,0.151190476,0.175595238,0.177368927,1,0,0,0.023809524,0.928571429,0.19047619,0.428571429,0.023809524,0.880952381,0.166666667,0.071428571,0,0.071428571,0,0,4.333333333,1.138989428,12.47940911,70.21205432,82.69146343,14.22547392,1.914807083,0.09651217,0,0,0.015430947,0.043657445,0.065512218,0.015430947,0.093997422,0.026729307,0.040836178,0,0.026729307,0,0,0.209700121,0.993472638,0.361055709,1.141715319,0.386735173,0.195121944,0.767441869,0.097327269,0.32638219,0.975609779,0.090253923
1328,SH,2,87.3,0.057594937,0.060126582,0.068873519,3,0.341269841,0.291666667,0.30952381,0,0.009920635,0.603174603,0.053571429,0.327380952,0.68452381,0.593253968,0.31547619,0.293650794,0.333333333,0.069444444,5.319444444,59.47117928,9.454763208,0,9.454763208,0,31.07130585,0,0.05403246,0.058451584,0.055663605,0.009960403,0.077742604,0.02314757,0.057248479,0.077099343,0.082830637,0.056196842,0.054216112,0.05776715,0.026355365,0.232734551,0,0.312549889,0.312549889,0,0.20299107,0.700128213,0.080793027,0.266119387,0.903429487,0.070687613
1370,SH,4-Mar,127.45,0.088764045,0.090449438,0.070968567,1,0.238095238,0.142857143,0.571428571,0,0.666666667,0.357142857,0,0.333333333,0.523809524,0.380952381,0.142857143,0.714285714,0.833333333,0.119047619,5.833333333,3.453617393,46.45882094,2.746590908,49.20541184,0,47.33460966,0,0.037805452,0.048814388,0.075665074,0.081740653,0.05979706,0,0.05776715,0.061760595,0.07243802,0.037805452,0.084616364,0.091414358,0.034510128,0.243934953,0.166496599,0.749956702,0.777451947,0,0.171717167,0.660377383,0.086921206,0.141465157,0.901768148,0.003639912
1559,HG,5,176,0.142857143,0.172619048,0.098079004,1,0,0,0.214285714,0.928571429,0.142857143,0.023809524,0.047619048,0.119047619,0.333333333,0.071428571,0,0.285714286,0,0,4.666666667,0.470759276,1.151991121,89.39896952,90.55096064,4.742477132,4.232894973,0.09651217,0,0,0.046307553,0.037805452,0.015430947,0.021823521,0.034510128,0.026729307,0.05776715,0,0.053477735,0,0,0.217741178,1.239158299,0.107537999,1.258344265,0.219531399,0.120372648,0.777777791,0.081483282,0.189749911,0.969230771,0.046647444
1620,HG,3,136.6,0.165662651,0.155421687,0.113778687,2,0.25,0,0.222222222,0.666666667,0.555555556,0.666666667,0.166666667,0.555555556,0.055555556,0.055555556,0,0,0,0.277777778,5.666666667,18.83189824,12.27945489,67.35445117,79.63390606,0,1.517930482,0.081740653,0,0.050020857,0.047157929,0.074604787,0.081740653,0.040836178,0.074604787,0.023572409,0.023572409,0,0,0,0.052729059,0.240355183,0.962630849,0.358020068,1.10258808,0,0.063941525,0.379836751,0.039087367,0.011875423,0.410840119,-0.02184099
1640,SH,5-Apr,156,0.060240964,0.096385542,0.061785604,2,0.384883409,0.470718306,0.219914232,0,0.013736264,0.65304208,0,0.305816135,0.725006701,0.714754757,0.264540338,0.257705709,0.474202627,0.079067274,5.166666667,40.62808945,12.55682978,0,12.55682978,0,46.81211637,0,0.068662854,0.062078838,0.046912219,0.011720449,0.080899234,0,0.05532887,0.084644208,0.08525055,0.051456189,0.050786552,0.068916913,0.02812261,0.229307319,0,0.362225474,0.362225474,0,0.250059408,0.804486294,0.108362875,0.308383544,0.976021162,0.084400912
1650,SH,2,80.6,0.076162791,0.048837209,0.060592071,1,0.128205128,0,0.179487179,0.076923077,0.692307692,0.102564103,0.102564103,0.641025641,0.461538462,0.230769231,0.102564103,0.641025641,0.307692308,0.025641026,4.833333333,14.24584048,34.41692893,22.57937242,56.99630135,0,28.75785818,0.027738567,0,0.035813399,0.042378611,0.083301336,0.032031108,0.032031108,0.080149863,0.048056942,0.06798899,0.032031108,0.080149863,0.055498505,0.0160135,0.221659099,0.495165831,0.626927643,0.855591517,0,0.159010604,0.729729712,0.068916569,0.157450159,0.882352948,0.012931449
1690,HG,2-Jan,68.15,0.131318681,0.143956044,0.211234107,1,0.19047619,0.023809524,0.095238095,0.785714286,0.523809524,0.404761905,0.166666667,0.738095238,0.19047619,0.023809524,0.047619048,0.166666667,0,0,5.666666667,11.00188453,15.67269873,61.92244199,77.59514072,0.01993324,11.38306508,0.088757015,0.015430947,0.043657445,0.030865571,0.07243802,0.063663898,0.040836178,0.086018508,0.015430947,0.043657445,0.021823521,0.040836178,0,0,0.240355183,0.905782316,0.407034213,1.077720324,0.014118982,0.110447764,0.575757563,0.047197302,0.086159153,0.827027023,-0.010186432
1691,HG,3,128.05,0.169879518,0.186746988,0.145839116,1,0.047619048,0,0,0.976190476,0.166666667,0,0.214285714,0.857142857,0.095238095,0.023809524,0.047619048,0.047619048,0.023809524,0,4,6.114023022,5.694503851,81.74888043,87.44338428,0.887137199,5.54481066,0.098963812,0,0.021823521,0,0.040836178,0,0.046307553,0.092714783,0.015430947,0.030865571,0.021823521,0.021823521,0.015430947,0,0.201357921,1.129387931,0.240956493,1.208574082,0.094327783,0.071161047,0.666666687,0.048597459,0.041361604,0.923076928,-0.002265481
1720,HG,4,128.35,0.137777778,0.146111111,0.11383803,1,0.151515152,0.090909091,0.424242424,0.454545455,0.606060606,0.484848485,0.303030303,0.787878788,0.454545455,0.090909091,0,0.181818182,0.03030303,0.151515152,6.833333333,22.32853969,13.42104112,47.24259295,60.66363407,9.501490168,7.399734904,0.067471167,0.030155705,0.038934783,0.065180037,0.077928746,0.069687453,0.055076028,0.088879509,0.030155705,0.067471167,0,0.042653075,0.017408645,0.038934783,0.264479034,0.757810097,0.375080455,0.89285991,0.313347516,0.169642851,0.666666687,0.048597459,0.247582063,0.923076928,-0.002265481
1730,HG,4,173.5,0.198795181,0.204819277,0.118051457,2,0.541312741,0.005405405,0.35032175,0.08957529,0.75032175,0.225482625,0.016216216,0.701415701,0.265894466,0.1001287,0.054054054,0.162419562,0.081338481,0.247361647,5,25.23606087,32.55497949,25.7906284,58.34560789,0.539733506,15.86395395,0.029933601,0.007352212,0.073640499,0.059222597,0.086729805,0.047502874,0.012734635,0.083848781,0.031648402,0.051587835,0.023251623,0.040312228,0.02852377,0.049755992,0.225513406,0.532681043,0.607199401,0.869246692,0.073532806,0.113942024,0.830140066,0.050445812,0.119336346,0.964397037,0.002593804
1740,SH,5,132,0.10326087,0.119565217,0.09057971,1,0.261904762,0.214285714,0.404761905,0.023809524,0.428571429,0.166666667,0,0.333333333,0.595238095,0.571428571,0.404761905,0.642857143,0.404761905,0,5.5,28.72134634,9.651360969,0,9.651360969,7.77653491,53.74458686,0.015430947,0.046307553,0.051198997,0.063663898,0.065512218,0.040836178,0,0.05776715,0.075665074,0.07722842,0.063663898,0.080264527,0.063663898,0,0.236725579,0,0.315894039,0.315894039,0.282611388,0.222471908,0.743589759,0.114820092,0.286194324,0.923076928,0.097007237
1760,SH,4,133.5,0.048295455,0.0625,0.046816479,1,0.285714286,0.714285714,0.595238095,0,0,0.571428571,0,0.547619048,0.785714286,0.619047619,0.30952381,0.142857143,0.428571429,0.071428571,5.5,50.51726413,10.88579246,0,10.88579246,0,38.57215665,0,0.084616364,0.053477735,0.07722842,0,0.075665074,0,0.074068995,0.078760984,0.088757015,0.055663605,0.037805452,0.065512218,0.026729307,0.236725579,0,0.336236036,0.336236036,0,0.217391297,0.714285731,0.095263526,0.280000001,0.9320755,0.083419944
