GT_ID,Habitat,NumAnnuli,Initial_CL_mm,PL_Per_Day_mm,CL_mm_per_day,CL_pct_per_day,NumBurrows,BareSoil,Wiregrass,NativeGrass,Bahiagrass,ExoticGrass,NativeLegume,ExoticLegume,Herb,ShortWoody,MediumWoody,TallWoody,Vine,Palmetto,Sedge,MeanDiversity,XBare,XBrownHerb,XGreenHerb,XTotalHerb,XTree,XWoody,Bahiagrass2,Wiregrass2,BareSoil2,NativeGrass2,ExoticGrass2,NativeLegume2,ExoticLegume2,Herb2,MediumWoody2,ShortWoody2,TallWoody2,Vine2,Palmetto2,Sedge2,MeanDiversity2,X.GreenHerb,X.BrownHerb,X.Tree,X.Woody,gli90,glimax,glimean,mgvri90,mgvrimax,mgvrimean
1300,HG,3,128,0.023033708,0.080898876,0.063202247,1,0,0,0.071428571,0.880952381,0.452380952,0.166666667,0.238095238,0.69047619,0.261904762,0.023809524,0.023809524,0.047619048,0,0.119047619,6.333333333,0.420598499,3.679730943,81.10671989,84.78645083,0.995727905,13.79725148,0.093997422,0,0,0.026729307,0.067310086,0.040836178,0.048814388,0.08319082,0.015430947,0.051198997,0.015430947,0.021823521,0,0.034510128,0.254396262,1.121131161,0.193022615,0.099952513,0.38056652,0.152173907,0.401360542,0.114020005,0.181805655,0.63089931,0.101440408
1328,SH,2,102.7,0.011797753,0.029775281,0.028992484,2,0.25,0.428571429,0.285714286,0,0.017857143,0.476190476,0,0.369047619,0.744047619,0.845238095,0.297619048,0.136904762,0.517857143,0.071428571,5.25,17.83834855,35.4724326,1.42598932,36.89842191,0,45.26327629,0,0.065512218,0.050020857,0.053477735,0.01336346,0.069061441,0,0.060786717,0.092066841,0.086365522,0.05458157,0.037009091,0.072024547,0.026729307,0.231182562,0.119700439,0.637996667,0,0.737959788,0.127052642,0.489043348,0.05014904,0.142699137,0.594267055,0.007641529
1370,SH,4-Mar,148,0.015168539,0.033707865,0.022775585,1,0,0.261904762,0.333333333,0,0.69047619,0.166666667,0.023809524,0.547619048,0.571428571,0.833333333,0.261904762,0.619047619,0.714285714,0.023809524,5.666666667,0.526484064,63.14529169,16.53267803,79.67796972,0,19.79558933,0,0.051198997,0,0.05776715,0.08319082,0.040836178,0.015430947,0.074068995,0.091414358,0.075665074,0.051198997,0.078760984,0.084616364,0.015430947,0.240355183,0.418733785,0.918414542,0,0.461087549,0.11811024,0.615384638,0.054232047,0.102819592,0.746534646,-0.024634633
1559,HG,5,205.5,0.028089888,0.039325843,0.019136663,1,0,0,0.142857143,0.928571429,0.142857143,0,0.261904762,0.142857143,0.285714286,0.095238095,0.023809524,0.166666667,0.023809524,0.047619048,4.666666667,0.242283187,1.601632537,90.0294735,91.63110604,1.304022449,6.822622839,0.09651217,0,0,0.037805452,0.037805452,0,0.051198997,0.037805452,0.030865571,0.053477735,0.015430947,0.040836178,0.015430947,0.021823521,0.217741178,1.24953732,0.126895906,0.114443456,0.264266714,0.146987945,0.478260875,0.109277176,0.14160502,0.695810378,0.068208439
1612,HG,2,119,0.035227273,0.056818182,0.047746371,1,0,0,0.128205128,0.666666667,0.615384615,0.282051282,0.564102564,0.41025641,0.282051282,0.076923077,0,0.128205128,0.102564103,0.179487179,6.333333333,0.598593706,21.93943907,61.77731455,83.71675362,61.77731455,15.42986208,0.081740653,0,0,0.035813399,0.078527136,0.053133498,0.075177555,0.064095138,0.027738567,0.053133498,0,0.035813399,0.032031108,0.042378611,0.254396262,0.904288482,0.487473924,0.904288482,0.403683729,0.142857149,0.471264362,0.080792165,0.175399306,0.628944039,0.037954675
1620,HG,3,164.5,0.051136364,0.0625,0.037993921,1,0.206896552,0,0.103448276,0.827586207,0.517241379,0.172413793,0.413793103,0.275862069,0.103448276,0.068965517,0.068965517,0.034482759,0.034482759,0.103448276,5.166666667,1.760968673,29.03651346,61.88244061,90.91895407,1.460810922,5.769701464,0.091097713,0,0.045501582,0.032168924,0.07198164,0.041534681,0.064371198,0.052546751,0.026264306,0.032168924,0.026264306,0.018570601,0.018570601,0.032168924,0.229307319,0.905370463,0.56907777,0.121160228,0.242573968,0.097415507,0.325966865,0.050182735,0.056180499,0.460071981,-0.027068267
1630,HG,2,97.3,0.022222222,0.0125,0.012846865,1,0.023809524,0,0,0.547619048,0.452380952,0,0.285714286,0.476190476,0.119047619,0.047619048,0.095238095,0.333333333,0.19047619,0.047619048,4.333333333,9.57365931,5.820670078,63.42473023,69.24540031,0,21.1561083,0.074068995,0,0.015430947,0,0.067310086,0,0.053477735,0.069061441,0.021823521,0.034510128,0.030865571,0.05776715,0.043657445,0.021823521,0.209700121,0.921313119,0.243664663,0,0.477947556,0.151618391,0.463414639,0.097465709,0.192469433,0.700102031,0.091989741
1640,SH,5-Apr,174,0.039325843,0.033707865,0.019372336,1,0.5,0.452380952,0.071428571,0,0,0.476190476,0,0.285714286,0.619047619,0.714285714,0.238095238,0.095238095,0.547619048,0.119047619,4.5,26.01303846,24.52675034,1.879122236,26.40587258,0.005262622,47.5752673,0,0.067310086,0.070769737,0.026729307,0,0.069061441,0,0.053477735,0.084616364,0.078760984,0.048814388,0.030865571,0.074068995,0.034510128,0.213756132,0.137514071,0.518116698,0.007254457,0.761141322,0.144208044,0.538461566,0.063235723,0.164871991,0.696361363,0.032468871
1650,SH,2,97.4,0.023295455,0.077272727,0.079335449,2,0.065488722,0.057443609,0.385338346,0.065601504,0.803195489,0.196691729,0.040902256,0.335714286,0.401428571,0.385338346,0.213345865,0.664172932,0.442669173,0.065714286,5.73,7.133563663,32.77469528,19.30679115,52.08148643,10.21496219,30.55319102,0.025615592,0.023969692,0.025593558,0.062115563,0.089741582,0.044364493,0.020225685,0.057973325,0.062115563,0.063400858,0.046205818,0.08158729,0.066582573,0.025637606,0.241721245,0.454924994,0.609541852,0.325316335,0.585659878,0.18095304,0.460665196,0.08985411,0.248217051,0.627320395,0.052839392
1670,HG,2,122.5,0.022159091,0.043181818,0.035250464,1,0.027027027,0,0.189189189,0.864864865,0.594594595,0.324324324,0.459459459,0.540540541,0.189189189,0,0,0.081081081,0,0.054054054,6.166666667,0.257868144,8.083490177,85.20441168,93.28790186,1.077145122,5.34515291,0.093132687,0,0.016440639,0.04350961,0.077186581,0.056980308,0.067835453,0.073587859,0,0.04350961,0,0.028478589,0,0.023251623,0.250953537,1.17596734,0.288291651,0.103972831,0.233306673,0.131034479,0.457627118,0.082265405,0.132743359,0.528301895,0.031858177
